PARK_SN,공원명,행정동,x,y,면적,공공시설_개수,노인및사회복지시설_개수,문화및집회시설_개수,영유아시설_개수,운동시설_개수,의료시설_개수,의원_개수,제1종근린생활시설_개수,제2종근린생활시설_개수,주거_개수,주차장_개수,치안안전시설_개수,판매및영업시설_개수,학군_개수,화장실_개수
109,,우장산동,126.8400265,37.55614874,1499,7,10,19,10,3,12,3,156,187,1423,5,4,10,49,6
113,,우장산동,126.8386755,37.55020091,2437,5,16,7,16,5,29,9,236,263,2803,6,7,10,71,7
116,,우장산동,126.8369568,37.54617178,4493,5,17,8,19,4,34,15,298,377,3650,10,7,7,95,7
117,,화곡3동,126.830088,37.54424651,822,5,11,7,15,1,13,12,200,426,2762,7,5,9,85,1
119,,우장산동,126.8405008,37.54517454,3464,3,28,8,29,3,32,15,312,381,4782,12,6,9,57,9
120,,화곡본동,126.844148,37.53787703,4433,4,39,7,40,5,43,24,394,624,6594,15,7,9,75,6
121,,가양1동,126.8249198,37.57066049,1510,2,6,15,6,0,1,1,68,97,689,2,1,7,24,2
122,,방화1동,126.822047,37.56754901,1922,3,8,7,8,0,6,8,167,218,1725,2,1,4,18,2
124,소공원,가양1동,126.8229495,37.57098615,991,3,9,7,9,0,3,5,133,177,1200,2,1,9,32,2
127,,발산1동,126.8283161,37.55026212,1649,3,13,5,13,1,10,2,101,143,1281,4,4,20,71,1
131,백합공원,등촌3동,126.8450055,37.5592506,1546,5,7,19,7,4,10,2,157,208,1005,2,12,13,61,8
132,,화곡3동,126.8344455,37.54084069,984,6,15,11,19,4,31,21,330,715,4583,11,5,11,71,2
133,모태공원,화곡8동,126.8495293,37.52949857,994,8,38,1,40,2,21,17,366,898,6165,11,5,5,64,3
134,,등촌1동,126.854621,37.55916261,879,7,9,15,9,3,8,1,147,203,1141,2,16,13,103,3
135,호돌이공원,화곡1동,126.846044,37.52822905,810,8,32,2,37,4,22,14,323,955,5675,12,4,5,76,2
137,나들이공원,가양1동,126.8442578,37.57183063,1499,2,3,13,3,1,1,1,57,72,294,0,7,10,38,6
138,,가양2동,126.8527209,37.56468208,1499,6,5,11,5,4,3,1,77,77,449,0,7,5,84,4
