fid,DN,area,fid_2,SIG_CD,KOR_PAR_NM,PARK_SN,면적(m^2,x,y,ADM_DR_NM
60953,"6","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60954,"1","200",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60955,"3","200",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61093,"19","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61094,"5","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61095,"2","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61096,"7","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61097,"8","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61098,"4","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61099,"3","100",12716,"11500",개화공원,8.000000000000000,"1511",126.812543625600000,37.580280376700003,방화3동
61180,"4","4998",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61180,"4","4998",12716,"11500",개화공원,8.000000000000000,"1511",126.812543625600000,37.580280376700003,방화3동
61187,"16","300",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61267,"21","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61268,"2","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61269,"1","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61270,"1","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61271,"5","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61272,"8","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61273,"7","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61274,"2","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61275,"2","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61276,"2","200",12716,"11500",개화공원,8.000000000000000,"1511",126.812543625600000,37.580280376700003,방화3동
61415,"22","200",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61416,"15","200",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61417,"0","2299",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61418,"1","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61419,"3","200",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61420,"4","200",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61421,"6","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61422,"8","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61423,"9","600",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61424,"5","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61425,"1","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61426,"1","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61555,"1","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61556,"3","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61557,"4","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61558,"7","400",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61559,"8","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61560,"10","200",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61561,"6","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61562,"2","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61563,"0","1999",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61691,"16","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61692,"1","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61693,"2","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61694,"4","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61695,"5","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61696,"9","200",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61697,"7","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61698,"5","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61699,"3","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61814,"17","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61815,"4","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61816,"5","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61817,"5","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61818,"3","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61819,"1","800",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61947,"6","1899",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61948,"5","200",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61949,"3","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
61950,"1","100",12760,"11500",능말공원,46.000000000000000,"1520",126.810607385300003,37.577972405899999,방화3동
61950,"1","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
62088,"5","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
62089,"4","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
62090,"3","100",12760,"11500",능말공원,46.000000000000000,"1520",126.810607385300003,37.577972405899999,방화3동
62090,"3","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
62215,"7","500",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
62216,"5","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
62217,"3","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
62218,"2","100",12760,"11500",능말공원,46.000000000000000,"1520",126.810607385300003,37.577972405899999,방화3동
62218,"2","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
62305,"4","6098",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
62324,"2","700",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
62389,"4","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
62390,"2","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
62658,"6","600",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
62817,"2","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
62851,"3","200",12760,"11500",능말공원,46.000000000000000,"1520",126.810607385300003,37.577972405899999,방화3동
62978,"1","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
62979,"2","200",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
62980,"5","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
62981,"7","400",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
63143,"2","200",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
63185,"2","100",12760,"11500",능말공원,46.000000000000000,"1520",126.810607385300003,37.577972405899999,방화3동
63311,"1","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
63312,"2","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
63313,"6","200",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
