건물용도코드,읍면동코드,지상층수,고시일자,도로구간시군구코드,도로명코드,시군구코드,지하층수
2003,103,7,2017-03-15,11500,4145145,11500,0
1003,101,4,2017-03-15,11500,4145214,11500,0
1002,103,3,2017-11-01,11500,3115010,11500,1
2003,108,6,2018-04-18,11500,4145380,11500,0
2003,108,8,2018-04-18,11500,4145194,11500,1
2003,108,8,2018-04-18,11500,4145194,11500,0
2003,108,8,2018-04-18,11500,4145194,11500,0
4402,103,4,2018-10-17,11500,4145527,11500,1
1003,102,4,2017-01-25,11500,4145204,11500,0
1003,102,4,2017-01-25,11500,4145204,11500,0
8001,105,7,2017-10-11,11500,3155046,11500,2
1003,102,4,2016-07-20,11500,4145300,11500,0
2003,103,6,2016-11-23,11500,4145024,11500,0
2003,103,6,2021-02-17,11500,4145011,11500,1
2003,103,6,2022-06-15,11500,4145525,11500,1
2003,103,6,2022-06-15,11500,4145150,11500,0
2003,102,7,2017-02-08,11500,4145195,11500,0
2003,102,6,2017-02-08,11500,4145195,11500,0
4402,103,8,2018-08-22,11500,4145042,11500,1
1003,105,2,2020-01-15,11500,3155051,11500,0
2003,103,7,2017-09-20,11500,4145073,11500,1
2003,103,6,2017-02-08,11500,4145018,11500,0
8001,105,7,2020-03-25,11500,3155046,11500,2
2003,102,6,2020-01-29,11500,4145288,11500,0
4999,102,5,2016-11-16,11500,4145188,11500,0
1001,110,2,2018-10-10,11500,4145108,11500,1
10202,101,8,2019-03-13,11500,3115008,11500,0
3999,103,7,2021-10-06,11500,4145320,11500,1
2003,103,6,2021-10-06,11500,4145320,11500,1
3005,103,7,2021-10-06,11500,3115001,11500,1
2003,103,6,2021-09-29,11500,4145004,11500,0
2003,103,6,2021-09-29,11500,4145125,11500,0
2003,103,6,2020-07-01,11500,4145082,11500,1
2003,103,6,2018-12-12,11500,4145276,11500,0
8004,105,9,2017-08-23,11500,4145560,11500,3
2003,103,6,2020-03-11,11500,4145307,11500,0
8004,105,9,2018-09-19,11500,4145560,11500,2
3999,103,5,2016-11-16,11500,4145073,11500,1
8004,105,7,2018-05-30,11500,3155052,11500,2
9011,109,4,2022-04-06,11500,4145401,11500,0
8999,105,3,2022-04-06,11500,3155053,11500,1
2003,109,6,2022-09-21,11500,4145402,11500,0
2003,102,6,2022-06-02,11500,4145300,11500,0
2003,103,6,2016-07-20,11500,4145138,11500,0
3012,109,1,2018-04-11,11500,4145388,11500,0
10202,103,10,2022-11-09,11500,4145080,11500,2
2003,103,6,2022-11-09,11500,4145524,11500,0
10202,103,11,2022-05-25,11500,4145080,11500,2
2003,108,6,2022-05-25,11500,4145352,11500,0
1003,109,5,2017-09-13,11500,4145330,11500,0
10202,102,17,2017-09-13,11500,4145188,11500,1
2003,103,5,2021-05-20,11500,4145023,11500,0
3001,110,2,2018-11-21,11500,4145083,11500,0
2003,103,6,2020-03-11,11500,4145011,11500,1
2003,103,6,2020-03-11,11500,4145020,11500,1
2003,103,6,2020-01-08,11500,4145291,11500,0
10202,103,15,2022-05-25,11500,3005063,11500,1
8004,105,5,2022-05-25,11500,4145561,11500,1
2003,103,6,2023-01-25,11500,4145294,11500,1
2003,109,6,2017-05-24,11500,4145366,11500,0
8004,105,9,2017-09-06,11500,3155056,11500,3
2003,103,9,2019-01-02,11500,4145444,11500,1
2003,108,5,2019-01-02,11500,4145359,11500,0
2001,103,10,2019-01-02,11500,3115001,11500,1
2003,103,7,2019-01-02,11500,4145022,11500,0
2003,103,6,2022-10-26,11500,4145258,11500,0
3999,105,7,2016-11-30,11500,3155046,11500,2
2003,103,6,2016-11-23,11500,4145320,11500,0
10202,102,12,2020-06-03,11500,4145549,11500,0
10202,102,14,2020-06-03,11500,4145549,11500,1
1001,110,2,2019-12-26,11500,4145089,11500,0
2003,103,5,2021-06-16,11500,4145467,11500,0
2003,103,7,2017-07-19,11500,4145038,11500,0
2001,103,12,2018-03-28,11500,3005069,11500,1
10202,101,14,2019-04-17,11500,4145224,11500,1
2003,103,5,2019-04-17,11500,4145162,11500,0
2003,103,5,2018-11-28,11500,4145464,11500,1
1002,103,3,2018-11-28,11500,4145048,11500,1
2001,104,9,2018-11-28,11500,4145408,11500,1
2003,103,4,2022-05-04,11500,4145140,11500,0
4402,103,5,2022-05-04,11500,4145132,11500,0
4002,103,4,2022-05-04,11500,4145132,11500,0
3001,106,3,2019-12-26,11500,3115001,11500,0
10204,105,9,2019-08-28,11500,3155045,11500,4
10204,105,8,2019-08-28,11500,3155045,11500,4
2003,103,4,2019-12-26,11500,4145296,11500,0
1003,103,4,2019-12-26,11500,4145469,11500,0
1001,105,4,2018-12-26,11500,3155051,11500,0
2001,102,14,2020-06-03,11500,4145310,11500,2
1003,110,2,2017-08-16,11500,4145085,11500,1
2003,109,5,2016-12-07,11500,4145231,11500,0
10202,105,14,2016-12-07,11500,3155055,11500,5
1002,101,3,2016-12-07,11500,4145211,11500,1
2003,104,7,2016-12-07,11500,4145406,11500,1
10202,102,13,2016-12-07,11500,4145187,11500,2
1003,103,4,2016-11-30,11500,4145139,11500,0
2003,103,7,2016-11-30,11500,4145506,11500,0
2003,103,6,2019-02-13,11500,4145115,11500,0
2003,109,6,2016-11-30,11500,4145099,11500,0
8203,103,3,2017-05-24,11500,4145463,11500,0
2003,103,6,2016-11-30,11500,4145022,11500,0
2003,103,6,2016-11-30,11500,4145040,11500,0
5501,105,1,2019-04-24,11500,4145409,11500,0
2003,103,6,2016-11-30,11500,4145021,11500,0
2003,102,12,2021-06-30,11500,4145550,11500,1
1003,103,5,2019-02-27,11500,4145503,11500,0
1003,103,3,2020-05-13,11500,4145445,11500,0
1001,103,4,2020-05-13,11500,4145015,11500,1
1002,103,4,2020-05-13,11500,4145510,11500,1
2003,103,6,2019-02-13,11500,3115010,11500,0
2003,103,6,2022-06-22,11500,4145131,11500,0
10202,103,9,2019-01-30,11500,4145443,11500,1
1002,103,3,2021-01-20,11500,4145045,11500,0
1003,108,4,2020-10-14,11500,4145379,11500,0
1002,103,5,2022-11-02,11500,4145022,11500,0
10202,102,14,2022-11-02,11500,2005007,11500,1
2003,103,5,2022-05-04,11500,4145259,11500,0
2003,103,7,2019-02-20,11500,4145502,11500,1
1003,109,4,2019-02-20,11500,4145404,11500,0
2003,103,5,2019-04-24,11500,4145019,11500,0
2003,103,5,2021-12-01,11500,4145050,11500,0
2003,103,6,2019-12-18,11500,3115003,11500,0
2001,102,20,2022-02-09,11500,4145188,11500,0
2003,103,6,2017-09-20,11500,4145017,11500,0
2001,102,19,2022-02-09,11500,4145188,11500,0
2001,102,20,2022-02-09,11500,4145188,11500,0
2001,102,12,2022-02-09,11500,4145188,11500,1
1003,103,3,2020-02-26,11500,4145074,11500,0
1003,103,1,2020-02-26,11500,4145433,11500,0
1003,103,3,2020-02-26,11500,4145319,11500,0
2003,106,6,2020-03-11,11500,4145065,11500,0
8103,106,6,2011-07-29,11500,4145058,11500,0
8004,105,7,2017-12-13,11500,4145559,11500,2
2003,106,4,2017-11-29,11500,4145055,11500,1
2003,109,6,2018-10-04,11500,4145240,11500,0
2003,103,5,2021-07-07,11500,4145532,11500,0
2003,103,5,2017-05-04,11500,3005069,11500,0
2003,103,9,2016-12-07,11500,3005063,11500,1
10202,105,14,2016-12-07,11500,3155045,11500,6
10202,102,14,2016-12-07,11500,4145420,11500,1
2003,103,6,2016-12-07,11500,4145506,11500,0
1003,106,5,2018-11-07,11500,4145438,11500,0
2003,109,6,2018-11-07,11500,3115008,11500,0
2003,109,6,2018-11-07,11500,3115008,11500,1
2003,103,6,2016-12-07,11500,4145506,11500,0
4002,101,8,2019-11-20,11500,3115008,11500,2
2003,108,6,2022-08-03,11500,4145361,11500,0
2003,103,5,2021-07-07,11500,4145020,11500,1
2003,103,6,2021-07-07,11500,4145445,11500,1
2003,103,9,2021-07-07,11500,4145524,11500,1
4402,108,7,2021-07-07,11500,4145175,11500,1
2003,108,6,2017-07-05,11500,4145350,11500,0
8004,105,8,2020-11-11,11500,3155058,11500,2
1002,108,4,2020-11-11,11500,4145219,11500,1
8400,103,5,2020-11-11,11500,4145499,11500,1
2003,103,5,2019-08-28,11500,4145140,11500,0
1003,103,4,2018-12-12,11500,4145308,11500,0
2003,103,6,2018-12-12,11500,4145043,11500,1
2003,103,6,2018-12-12,11500,4145289,11500,1
4402,103,6,2022-05-11,11500,4145042,11500,1
14001,112,1,2022-05-11,11500,4145556,11500,0
2003,102,6,2020-08-05,11500,4145288,11500,0
2003,102,5,2017-05-31,11500,4145192,11500,0
2003,102,5,2017-05-31,11500,4145192,11500,0
8004,105,8,2022-09-21,11500,3155047,11500,3
2003,106,6,2019-05-15,11500,4145061,11500,1
2003,101,8,2019-05-15,11500,4145429,11500,1
1002,103,4,2019-05-15,11500,4145014,11500,1
1003,103,4,2019-05-15,11500,4145162,11500,0
