fid,x,y
"16073","126.8199925325","37.5716910167"
"16074","126.8201999460","37.5719013265"
"19119","126.8465125453","37.5338971949"
"19120","126.8464729162","37.5339793191"
"19584","126.8390075712","37.5579089498"
"20776","126.8411539000","37.5637274729"
"21127","126.8404987553","37.5599334944"
"21585","126.7947847204","37.5816007343"
"21587","126.7941394118","37.5814917991"
"21936","126.7941068381","37.5815488348"
"21937","126.7941556137","37.5817128762"
"21938","126.7941815371","37.5816460893"
"21939","126.7943776111","37.5818631926"
"21940","126.7942879322","37.5819276348"
"21941","126.7943679374","37.5820826258"
"21942","126.7938840024","37.5812790763"
"21943","126.7938362765","37.5812777330"
"22687","126.8602651559","37.5566600374"
"22876","126.8364752407","37.5444867078"
"22993","126.8357322085","37.5387302245"
"23103","126.7841840123","37.5566858322"
"23104","126.7844579945","37.5568798092"
"23105","126.7845964317","37.5567644551"
"23106","126.7843154212","37.5569950724"
"23107","126.7846404844","37.5572113202"
"23108","126.7850603635","37.5571263725"
"23109","126.7848215998","37.5573197264"
"23110","126.7838345711","37.5571554405"
"23111","126.7843068625","37.5575528891"
"23112","126.7836977275","37.5574469509"
"23113","126.7839883087","37.5576748881"
"23114","126.7841717945","37.5578492182"
"23115","126.7848401637","37.5570476233"
"23391","126.7966645792","37.5629225968"
"23392","126.7979511189","37.5632518035"
"23393","126.7980143949","37.5635902736"
"23394","126.7963648769","37.5619975748"
"23395","126.7965903406","37.5619978631"
"23507","126.8059679436","37.5568062443"
"23508","126.8062614828","37.5564800293"
"23509","126.8070347363","37.5555440137"
"23510","126.8088723770","37.5568697886"
"23511","126.8090500673","37.5557575897"
"23512","126.8095313331","37.5563072600"
"23513","126.8093930655","37.5560297489"
"23514","126.8092057125","37.5561816162"
"23515","126.8096568281","37.5554429895"
"23624","126.8103936354","37.5556569784"
"23625","126.8106395117","37.5554613332"
"23626","126.8104212924","37.5552903037"
"23627","126.8099693505","37.5552851103"
"23628","126.8101528034","37.5558243748"
"23629","126.8101872144","37.5554626662"
"23630","126.8098803258","37.5556483717"
"23631","126.8100340092","37.5549837417"
"23632","126.8114566925","37.5549493042"
"23633","126.8111800587","37.5547523536"
"23634","126.8093237289","37.5532549477"
"23753","126.8125449441","37.5540286410"
"23754","126.8129321207","37.5536502986"
"23760","126.8123844541","37.5508077674"
"23761","126.8140971637","37.5521541405"
"23762","126.8147229711","37.5517881492"
"23765","126.8144778337","37.5493716168"
"23876","126.8142831184","37.5477457821"
"24230","126.8331138983","37.5430196444"
"24820","126.8412056782","37.5585437130"
"24824","126.8269275085","37.5660114157"
"24864","126.8018715198","37.5764461206"
"25295","126.8016586194","37.5697999228"
"25296","126.8023013507","37.5699603968"
"25297","126.8025572171","37.5688952877"
"25298","126.8017815469","37.5704232171"
"25299","126.8027532377","37.5693891068"
"25828","126.8236373087","37.5558044597"
"25829","126.8229910757","37.5538441541"
"25830","126.8173215757","37.5522082287"
"25831","126.8180668407","37.5516192214"
"88268","126.8933505197","37.5445052614"
"89086","126.8915170367","37.5450456025"
"120008","126.8743261428","37.5243521137"
"328859","126.8702992216","37.5255619850"
"328862","126.8711560950","37.5254285747"
"335262","126.8374594434","37.5186321617"
"335372","126.8760086081","37.5291435194"
"335695","126.8613898177","37.5268538164"
"335983","126.8236948513","37.5354007448"
"336277","126.8276581048","37.5396751949"
"336760","126.8733000574","37.5302447662"
"337075","126.8306808593","37.5243322204"
"337076","126.8312013752","37.5246621990"
"337077","126.8309998479","37.5243057935"
"337300","126.8313241345","37.5243337287"
"337301","126.8311939132","37.5242348584"
"337668","126.8638068043","37.5267062208"
"338037","126.8370615890","37.5100615677"
"338038","126.8384421875","37.5077705310"
"338039","126.8380882542","37.5083700066"
"338286","126.8398628893","37.5087875353"
"338288","126.8405571794","37.5098429192"
"338290","126.8376027728","37.5091968807"
"338291","126.8375885747","37.5107412441"
"338580","126.8751875383","37.5265617287"
"338667","126.8734724312","37.5196507701"
"353369","126.8375074695","37.5221033105"
"353370","126.8376563941","37.5222554211"
"355992","126.8362699922","37.5263483268"
"356680","126.8372548929","37.5204222386"
"356966","126.8733066114","37.5179037682"
"359603","126.8431315579","37.5114254521"
"385656","126.8827025788","37.5144420312"
"599312","126.8328930582","37.5399033281"
