fid,x,y
"214",126.8469432401,37.5355036841
"215",126.8379858692,37.5399848668
"216",126.8393992138,37.5312515297
"217",126.8237738119,37.5703951325
"219",126.8410295327,37.5343864029
"220",126.8411109487,37.5342457806
"222",126.8559556620,37.5330743091
"223",126.8698914575,37.5489324999
"224",126.8422290653,37.5484247287
"225",126.8118698352,37.5586712959
"226",126.8108791468,37.5606663438
"227",126.8110948875,37.5607478370
"228",126.8110956851,37.5606073012
"230",126.8602115438,37.5507738197
"231",126.8603529425,37.5507954698
"233",126.8602320916,37.5466389469
"234",126.8408558574,37.5329278889
"235",126.8402147086,37.5361494154
"236",126.8455180168,37.5475602978
"237",126.8565539496,37.5349070997
"238",126.8575882198,37.5549658085
"239",126.8577391105,37.5550954321
"241",126.8221140875,37.5674479702
"242",126.8430789603,37.5281898021
"243",126.8452550587,37.5311316877
"245",126.8621196736,37.5363555848
"247",126.8003749907,37.5799612445
"250",126.8624987779,37.5337600899
"252",126.8431228859,37.5347873235
"253",126.8470498281,37.5336585206
"254",126.8601402281,37.5309931350
"255",126.8445719181,37.5422005334
"257",126.8606484246,37.5308271638
"263",126.8203411075,37.5724534593
"264",126.8618696503,37.5451476046
"265",126.8529772866,37.5315678720
"268",126.8469329779,37.5476042162
"270",126.8168425133,37.5547254157
"271",126.8153779330,37.5680286876
"273",126.8433080749,37.5336591527
"275",126.8396834912,37.5370123582
"276",126.8499523186,37.5334547931
"277",126.8595405953,37.5357486377
"280",126.8589547443,37.5370550401
"281",126.8144444775,37.5667524753
"283",126.8420654014,37.5299406542
"284",126.8157111217,37.5574580811
"285",126.8462046113,37.5317067792
"286",126.8403382235,37.5322488880
"287",126.8500803716,37.5479725515
"289",126.8622503228,37.5333975509
"292",126.7998260753,37.5848118318
"293",126.8487217916,37.5378399042
"294",126.8419890149,37.5403301054
"295",126.8417148071,37.5408779932
"297",126.8615163618,37.5351314591
"298",126.8503664591,37.5381976443
"299",126.8356098188,37.5439344543
"300",126.8395679995,37.5723870106
"301",126.8536398943,37.5349880208
"307",126.8557500191,37.5378805566
"308",126.8453117603,37.5369536495
"309",126.8222677954,37.5676811325
"310",126.8623654453,37.5473055457
"311",126.8020445059,37.5878203691
"312",126.8107734898,37.5749906627
"314",126.8660069282,37.5515661546
"315",126.8396993736,37.5716141034
"317",126.8519629258,37.5335735265
"318",126.8370786359,37.5402187045
"319",126.8402615693,37.5317002034
"320",126.8068108064,37.5659382942
"322",126.8417962371,37.5323743679
"323",126.8380012285,37.5385367110
"325",126.8428384559,37.5356348598
"326",126.8618257150,37.5561264839
"327",126.8372666449,37.5429451880
"328",126.8387214429,37.5308185300
"329",126.8411429620,37.5386579542
"330",126.8405764004,37.5437220554
"331",126.8443778882,37.5473684147
"332",126.8544437520,37.5323488716
"334",126.8373710799,37.5429593164
"335",126.8125806874,37.5586091720
"336",126.8400319227,37.5322355504
"339",126.8361685813,37.5439708356
"340",126.8226784351,37.5696007097
"341",126.8453907081,37.5327089369
"342",126.8345709743,37.5469281643
"343",126.8532237081,37.5529502270
"344",126.8544339913,37.5569334677
"345",126.8481688440,37.5325605676
