fid,x,y
"1530",126.8125079236,37.5708287948
"1531",126.8123944741,37.5709822994
"1532",126.8121161689,37.5709569433
"1539",126.8125899118,37.5555721698
"1540",126.8120866286,37.5562268392
"1541",126.8118775451,37.5562072813
"1548",126.8123985008,37.5566270874
"1563",126.8119948197,37.5566676222
"1564",126.8117877388,37.5566633033
"1570",126.8122220343,37.5567634354
"1571",126.8123786482,37.5567559469
"1572",126.8125157216,37.5567679895
"1583",126.8120685855,37.5571374021
"1587",126.8117168440,37.5570594701
"1603",126.8114084570,37.5574551380
"1611",126.8113899521,37.5579912628
"1620",126.8112498576,37.5581170811
"1621",126.8108782365,37.5580342353
"1628",126.8105964426,37.5585391756
"1634",126.8108167998,37.5587171149
"1651",126.8098482334,37.5602624082
"1664",126.8085085587,37.5727627018
"1666",126.8085894922,37.5731525591
"1676",126.8090077866,37.5728488320
"1677",126.8090410566,37.5727907399
"1678",126.8091624917,37.5727035748
"1679",126.8091091048,37.5725935319
"1683",126.8093262987,37.5732420905
"1691",126.8101144157,37.5730068135
"1694",126.8108778899,37.5733922586
"1696",126.8111972506,37.5730912367
"1697",126.8117770310,37.5732116570
"1698",126.8118260538,37.5737251847
"1703",126.8128686114,37.5733359049
"1705",126.8133512641,37.5733132318
"1707",126.8135421927,37.5732829380
"1710",126.8140440001,37.5735996735
"1712",126.8140767185,37.5737973486
"1714",126.8139022035,37.5738083125
"1715",126.8138809006,37.5737467170
"1717",126.8140878695,37.5739806912
"1720",126.8139097906,37.5739213647
"1731",126.8141292779,37.5732283365
"1732",126.8144034068,37.5732527034
"1739",126.8150669567,37.5735570779
"1740",126.8148873097,37.5733005605
"1742",126.8152359618,37.5735324896
"1744",126.8157395910,37.5735158170
"1745",126.8159190057,37.5735124435
"1748",126.8161083150,37.5735049515
"1765",126.8566800020,37.5548046502
"1769",126.8581784976,37.5541708635
"1773",126.8159275242,37.5634017960
"1787",126.8162453024,37.5662173209
"1788",126.8162594617,37.5663165866
"1822",126.8630218932,37.5516110328
"1835",126.8676335524,37.5498519290
"1844",126.8694722890,37.5487553326
"1849",126.8738525929,37.5472345298
"1856",126.8781165627,37.5479084951
"1857",126.8781864613,37.5482679081
"1869",126.8440101565,37.5274943991
"1874",126.8446473845,37.5277201371
"1882",126.8528316401,37.5287504934
"1894",126.8568521104,37.5294567440
"1901",126.8588858125,37.5294880628
"1907",126.8611120201,37.5298357007
"1912",126.8621936425,37.5299731010
"1918",126.8633748583,37.5300891978
"1945",126.8429117360,37.5577845427
"1949",126.8437500990,37.5577724611
"1958",126.8460914433,37.5580532427
"1959",126.8465676642,37.5580223538
"1960",126.8468607286,37.5580122299
"1993",126.8511150170,37.5558143561
"2002",126.8748640031,37.5472458979
"2003",126.8752707216,37.5472626851
"2005",126.8762028177,37.5472914917
"2007",126.8767232692,37.5473362790
"2008",126.8769776621,37.5473527744
"2011",126.8772751874,37.5477612193
"2016",126.8412898669,37.5269928943
"2026",126.8418649027,37.5270692192
"2027",126.8420890264,37.5270981954
"2039",126.8455671349,37.5276820516
"2046",126.8462953369,37.5278131345
"2061",126.8506700067,37.5285921616
"2073",126.8470513527,37.5579611440
"2076",126.8485788353,37.5575962326
"2078",126.8494767637,37.5572310497
"2102",126.8163952789,37.5710019147
"2103",126.8169822164,37.5710218493
"2107",126.8171734716,37.5712124970
"2108",126.8171090092,37.5713602195
"2109",126.8169711647,37.5716652541
"2111",126.8173740792,37.5723589016
"2118",126.8580960030,37.5543478394
"2122",126.8586714778,37.5539847758
"2126",126.8590388650,37.5539377341
"2127",126.8591563665,37.5541545121
"2138",126.8593171381,37.5538163425
"2139",126.8597797728,37.5536177478
"2141",126.8600802590,37.5534893962
"2148",126.8607004303,37.5520304483
"2149",126.8608749392,37.5522669538
"2150",126.8607355394,37.5523363567
"2160",126.8092847184,37.5576990052
"2171",126.8177684439,37.5490393754
"2186",126.8208268502,37.5481330197
"2201",126.8225032767,37.5461887053
"2207",126.8188416135,37.5454829449
"2208",126.8186063385,37.5457383973
"2209",126.8188201232,37.5458813468
"2210",126.8186460787,37.5460097201
"2217",126.8084884971,37.5619865222
"2218",126.8086060835,37.5618979404
"2219",126.8086450140,37.5613594072
"2222",126.8088646156,37.5612759048
"2225",126.8093722945,37.5618519600
"2228",126.8095925315,37.5618408913
"2229",126.8095686060,37.5617392319
"2230",126.8095335820,37.5612288570
"2232",126.8098182784,37.5617298644
"2233",126.8099514456,37.5611712307
"2234",126.8102804749,37.5611463853
"2235",126.8107099324,37.5610289695
"2236",126.8109582425,37.5610066625
"2237",126.8111287444,37.5610122129
"2239",126.8115206767,37.5615348003
"2243",126.8120193755,37.5608674954
"2244",126.8120371292,37.5605051101
"2249",126.8120930487,37.5609426497
"2264",126.8132942631,37.5608250421
"2265",126.8135696433,37.5613456746
"2266",126.8135898138,37.5607766348
"2268",126.8139765163,37.5613607774
"2282",126.8262908350,37.5606016231
"2285",126.8384313790,37.5580304635
"2286",126.8389031784,37.5588596797
"2287",126.8386937554,37.5580888960
"2295",126.8421569990,37.5577012532
"2299",126.8421820008,37.5585418224
"2314",126.8433165444,37.5675893304
"2316",126.8432052680,37.5672086535
"2330",126.8672586736,37.5544829148
"2331",126.8672949438,37.5544280710
"2361",126.8491627865,37.5421782127
"2392",126.8567966683,37.5317214219
"2393",126.8569759570,37.5317349872
"2404",126.8575680567,37.5318834540
"2406",126.8628911933,37.5479515244
