fid,x,y
"2684",126.8674490681,37.5530550329
"2685",126.8681624030,37.5524778549
"2686",126.8677267103,37.5532161049
"2687",126.8676002085,37.5532261312
"2688",126.8673169411,37.5529005769
"2749",126.8527087448,37.5599717108
"2750",126.8541523544,37.5596633434
"2820",126.8683108313,37.5532976076
"3227",126.8363703626,37.5350569453
"3228",126.8362935295,37.5349941732
"3229",126.8358141172,37.5344123198
"3230",126.8357793064,37.5347876209
"3231",126.8360644768,37.5349189488
"3232",126.8359774523,37.5348967405
"3233",126.8358833072,37.5348304490
"3234",126.8364237512,37.5346325010
"3235",126.8364481867,37.5340015335
"3236",126.8356782091,37.5347390957
"3237",126.8361628741,37.5349581759
"3726",126.8634031106,37.5394886627
"3826",126.8460466867,37.5438363412
"3827",126.8459019447,37.5438384781
"3828",126.8459552555,37.5438703328
"3829",126.8466619298,37.5428408550
"3830",126.8462433766,37.5427491084
"3831",126.8458916960,37.5431436485
"3832",126.8464717513,37.5436695907
"3833",126.8453667115,37.5432382182
"3834",126.8454548237,37.5431236322
"3904",126.8459842403,37.5496381780
"3905",126.8460423102,37.5491504761
"3906",126.8464908226,37.5492641431
"3907",126.8459041422,37.5495668270
"4008",126.8394468395,37.5411708123
"4095",126.8465377714,37.5435787383
"4096",126.8459000536,37.5427447184
"4097",126.8460417902,37.5440176146
"4098",126.8458234161,37.5427959397
"4099",126.8459978624,37.5429303297
"4100",126.8456219351,37.5429872583
"4101",126.8455381940,37.5430467572
"4102",126.8455078020,37.5435196331
"4179",126.8418905911,37.5420139583
"4391",126.8394907443,37.5703541684
"4392",126.8394013787,37.5702517989
"4393",126.8402939829,37.5701119787
"4394",126.8398045069,37.5695439758
"4395",126.8392740892,37.5703273439
"4396",126.8395396888,37.5701881773
"4549",126.8395234833,37.5700912250
"4550",126.8397166789,37.5704461378
"4551",126.8394704490,37.5702768886
"4552",126.8395622377,37.5705019168
"4741",126.8106014611,37.5814868773
"4742",126.8112857707,37.5816509421
"4743",126.8110594919,37.5807384365
"4744",126.8110879468,37.5809614751
"4745",126.8101881634,37.5810016113
"4856",126.8524456727,37.5573603482
"4861",126.8526511786,37.5581047689
"4862",126.8528179648,37.5580387375
"4863",126.8520438736,37.5583601581
"4911",126.8110679957,37.5807636763
"4912",126.8104937298,37.5805084061
"4913",126.8109467517,37.5803568717
"4914",126.8108284372,37.5803748753
"4915",126.8109749375,37.5804258330
"4916",126.8110006058,37.5804860398
"5685",126.8556564343,37.5390609107
"5686",126.8553707609,37.5389793448
"5687",126.8557409293,37.5388331215
"5688",126.8553231531,37.5392514935
"5689",126.8560095698,37.5390954645
"5690",126.8557051876,37.5391923436
"5691",126.8557974923,37.5393466530
"5692",126.8560967810,37.5391045782
"6049",126.8556056981,37.5393151201
"6050",126.8557582273,37.5389219956
"6375",126.8578462302,37.5389884319
"6376",126.8579392989,37.5388436801
"6441",126.8620589300,37.5472872936
"6442",126.8622638383,37.5477259098
"6443",126.8616142438,37.5470323968
"6444",126.8619903970,37.5470523756
"6445",126.8622071357,37.5476205054
"6446",126.8619700102,37.5472623426
"6447",126.8615478941,37.5472914107
"6448",126.8609412259,37.5480450236
"6643",126.8452229867,37.5430330206
"6792",126.8579422127,37.5476142509
"6793",126.8579307122,37.5473936152
"6794",126.8574345799,37.5475018632
"6795",126.8575618296,37.5476403265
"7156",126.8584694433,37.5377210642
"7182",126.8577634076,37.5472533405
"7183",126.8578463429,37.5477605067
"7184",126.8574895098,37.5475607857
"7185",126.8584182603,37.5478637957
"7186",126.8577898541,37.5476065217
"7292",126.8354952664,37.5558407521
"7293",126.8359341747,37.5556520167
"7294",126.8361030847,37.5557076390
"7295",126.8355296256,37.5556140544
"7296",126.8362884978,37.5555456309
"7297",126.8359090388,37.5555693369
"7298",126.8358937186,37.5557938941
"7576",126.8616671898,37.5420436972
"7577",126.8625698732,37.5395860818
"7578",126.8629104297,37.5391747138
"7579",126.8624972908,37.5387865105
"7818",126.8474707515,37.5407120186
"8433",126.8433040451,37.5601933597
"8874",126.8635378833,37.5554739125
"9115",126.8590271163,37.5486750942
"9116",126.8586049740,37.5484572331
