ARS-ID,정류소명,x,y
"16215",명덕고등학교.서울스타병원,126.8365617813,37.5531477528
"16216",명덕고등학교.서울스타병원,126.8364332552,37.5532789758
"16217",발산역.우장산힐스테이트,126.8374796170,37.5560679651
"16218",발산역.우장산힐스테이트,126.8375357923,37.5567551755
"16219",발산역2번출구,126.8386069231,37.5600238517
"16220",발산역3번출구,126.8388363519,37.5601951719
"16221",서울호서전문학교.등촌주공3단지아파트,126.8395162715,37.5627419748
"16222",서울호서전문학교.등촌주공3단지아파트,126.8396842423,37.5627583789
"16223",서울강서우체국,126.8403633158,37.5648622129
"16224",서울강서우체국,126.8403940000,37.5654760000
"16225",양천향교역.휴먼빌아파트,126.8414685823,37.5689906973
"16226",양천향교입구,126.8415458070,37.5701952010
"16227",가양한강타운아파트,126.8433032432,37.5704494270
"16228",가양한강타운아파트,126.8438023093,37.5704872810
"16229",가양2단지성지아파트.동양고등학교,126.8464358440,37.5696006481
"16230",가양2단지성지아파트.동양고등학교,126.8476361110,37.5694660172
"16231",한보구암마을아파트,126.8487893153,37.5688641022
"16232",가양동천주교영등포공업고등학교,126.8496170754,37.5684584400
"16233",서울서진학교.우체국앞.허준박물관,126.8512313089,37.5668574998
"16234",탑산초등학교.허준박물관,126.8517341008,37.5666784742
"16235",가양도시개발4단지아파트,126.8531603674,37.5653815416
"16236",대림경동아파트,126.8531975563,37.5655709197
"16237",가양도시개발5단지아파트,126.8550610541,37.5642788368
"16238",가양2동강변아파트,126.8556338800,37.5641750745
"16239",가양3동도시개발6단지아파트,126.8578895318,37.5629298254
"16240",가양초등학교,126.8595876071,37.5617998425
"16241",강서구청별관,126.8594569425,37.5609394635
"16242",가양3동주민센터,126.8607307821,37.5613872729
"16243",가양3동도시개발9단지아파트,126.8632551936,37.5597998313
"16244",가양도시개발9단지.세현고등학교,126.8638214641,37.5596961839
"16245",염창동아3차아파트.나이아가라호텔,126.8776022983,37.5490564352
"16246",염창동아3차아파트,126.8777169888,37.5488934120
"16247",염창동새마을금고,126.8733040757,37.5502015293
"16248",염창동새마을금고,126.8728807746,37.5502568101
