행정동,행정동별_공공시설개수,행정동별_노인복지시설개수,행정동별_치안시설개수,행정동별_영유아시설개수,행정동별_운동시설개수,행정동별_의료시설개수,행정동별 공원 갯수,PARK_SN,공원명,면적,공공시설_개수,노인및사회복지시설_개수,문화및집회시설_개수,영유아시설_개수,운동시설_개수,의료시설_개수,의원_개수,제1종근린생활시설_개수,제2종근린생활시설_개수,주거_개수,주차장_개수,치안안전시설_개수,판매및영업시설_개수,학군_개수,화장실_개수,행정동 인구 (명),행정동 면적 (㎢),행정동 인구밀도 (명/㎢),행정동 고령인구수,행정동 고령인구비율,행정동 고령인구밀도
우장산동,40,157,53,161,30,214,8,27,개나리공원,281,5,27,11,27,4,35,12,275,337,3966,10,13,6,43,8,42883,1.36,31532,5945,0.14,4371.32
우장산동,40,157,53,161,30,214,8,30,,973,3,34,8,35,4,27,16,326,432,5403,13,6,8,43,7,42883,1.36,31532,5945,0.14,4371.32
우장산동,40,157,53,161,30,214,8,102,,2746,6,9,13,9,3,11,3,146,163,1228,5,3,10,46,7,42883,1.36,31532,5945,0.14,4371.32
우장산동,40,157,53,161,30,214,8,104,,2436,6,16,7,16,4,34,14,264,284,3282,9,7,8,88,7,42883,1.36,31532,5945,0.14,4371.32
우장산동,40,157,53,161,30,214,8,109,,1499,7,10,19,10,3,12,3,156,187,1423,5,4,10,49,6,42883,1.36,31532,5945,0.14,4371.32
우장산동,40,157,53,161,30,214,8,113,,2437,5,16,7,16,5,29,9,236,263,2803,6,7,10,71,7,42883,1.36,31532,5945,0.14,4371.32
우장산동,40,157,53,161,30,214,8,116,,4493,5,17,8,19,4,34,15,298,377,3650,10,7,7,95,7,42883,1.36,31532,5945,0.14,4371.32
우장산동,40,157,53,161,30,214,8,119,,3464,3,28,8,29,3,32,15,312,381,4782,12,6,9,57,9,42883,1.36,31532,5945,0.14,4371.32
화곡1동,60,311,43,336,40,270,10,33,,1977,5,29,11,32,5,39,23,386,872,6310,17,8,13,59,2,52647,1.12,47006,8353,0.16,7458.04
화곡1동,60,311,43,336,40,270,10,35,은행공원,1125,4,33,10,35,4,43,23,442,914,6983,22,7,10,34,2,52647,1.12,47006,8353,0.16,7458.04
화곡1동,60,311,43,336,40,270,10,36,월정공원,1180,7,32,9,31,2,24,17,378,987,6420,13,5,13,55,1,52647,1.12,47006,8353,0.16,7458.04
화곡1동,60,311,43,336,40,270,10,38,필마공원,1607,6,26,6,32,5,21,13,354,964,5655,17,4,9,40,1,52647,1.12,47006,8353,0.16,7458.04
화곡1동,60,311,43,336,40,270,10,41,곰돌이공원,1003,6,33,3,35,4,23,15,336,900,5865,11,3,9,81,2,52647,1.12,47006,8353,0.16,7458.04
화곡1동,60,311,43,336,40,270,10,67,초롱공원,945,7,31,10,30,4,33,21,376,915,6010,16,5,10,59,2,52647,1.12,47006,8353,0.16,7458.04
화곡1동,60,311,43,336,40,270,10,73,다운공원,1285,6,36,6,37,2,23,12,367,817,6512,12,1,9,75,2,52647,1.12,47006,8353,0.16,7458.04
화곡1동,60,311,43,336,40,270,10,75,버들공원,1085,5,29,6,33,5,21,14,357,958,5826,14,3,9,48,1,52647,1.12,47006,8353,0.16,7458.04
화곡1동,60,311,43,336,40,270,10,77,,1047,6,30,6,34,5,21,14,336,989,5199,16,3,10,48,1,52647,1.12,47006,8353,0.16,7458.04
화곡1동,60,311,43,336,40,270,10,135,호돌이공원,810,8,32,2,37,4,22,14,323,955,5675,12,4,5,76,2,52647,1.12,47006,8353,0.16,7458.04
화곡2동,31,165,15,188,7,109,4,40,뜸부기공원,1003,8,35,3,44,3,28,22,399,1083,5798,13,5,4,72,1,17785,0.45,39522,2932,0.16,6515.56
화곡2동,31,165,15,188,7,109,4,72,,983,8,41,5,49,1,29,19,402,791,5860,14,3,6,72,4,17785,0.45,39522,2932,0.16,6515.56
화곡2동,31,165,15,188,7,109,4,76,,1028,9,40,2,44,3,30,24,425,986,6135,13,6,7,69,2,17785,0.45,39522,2932,0.16,6515.56
화곡2동,31,165,15,188,7,109,4,81,소공원,661,6,49,5,51,0,22,13,359,491,6525,12,1,5,67,5,17785,0.45,39522,2932,0.16,6515.56
화곡3동,32,91,38,106,17,155,6,29,대원공원,277,5,17,7,19,3,32,15,295,447,3854,11,8,8,91,4,21603,0.53,40760,4102,0.19,7739.62
화곡3동,32,91,38,106,17,155,6,61,미리내공원,967,4,16,8,17,3,26,11,234,303,2747,9,5,8,89,6,21603,0.53,40760,4102,0.19,7739.62
화곡3동,32,91,38,106,17,155,6,63,,976,7,17,9,19,3,31,15,300,468,3741,11,9,9,78,3,21603,0.53,40760,4102,0.19,7739.62
화곡3동,32,91,38,106,17,155,6,78,천사공원,2393,5,15,7,17,3,22,10,209,347,2812,9,6,9,85,1,21603,0.53,40760,4102,0.19,7739.62
화곡3동,32,91,38,106,17,155,6,117,,822,5,11,7,15,1,13,12,200,426,2762,7,5,9,85,1,21603,0.53,40760,4102,0.19,7739.62
화곡3동,32,91,38,106,17,155,6,132,,984,6,15,11,19,4,31,21,330,715,4583,11,5,11,71,2,21603,0.53,40760,4102,0.19,7739.62
화곡4동,40,176,21,223,6,96,5,37,무지개공원,968,10,30,4,41,1,17,16,326,805,4590,12,4,4,77,3,20514,0.82,25017,3840,0.19,4682.93
화곡4동,40,176,21,223,6,96,5,39,달빛공원,973,8,30,4,44,1,17,14,314,909,4448,9,7,7,76,1,20514,0.82,25017,3840,0.19,4682.93
화곡4동,40,176,21,223,6,96,5,68,능골공원,996,5,45,4,49,0,26,17,345,481,5588,13,2,5,69,6,20514,0.82,25017,3840,0.19,4682.93
화곡4동,40,176,21,223,6,96,5,70,종달새공원,984,9,38,5,46,1,19,19,345,707,5455,14,3,3,70,5,20514,0.82,25017,3840,0.19,4682.93
화곡4동,40,176,21,223,6,96,5,74,,990,8,33,4,43,3,17,14,353,918,5482,10,5,4,84,2,20514,0.82,25017,3840,0.19,4682.93
화곡6동,35,84,57,84,12,52,4,25,,977,6,19,17,19,6,16,3,213,280,2704,4,16,10,49,8,25303,1.11,22795,3950,0.16,3558.56
화곡6동,35,84,57,84,12,52,4,26,백연공원,1101,12,25,16,25,1,7,1,202,263,2992,3,14,6,78,7,25303,1.11,22795,3950,0.16,3558.56
화곡6동,35,84,57,84,12,52,4,60,,980,6,22,15,22,2,20,5,202,250,3161,5,12,4,59,8,25303,1.11,22795,3950,0.16,3558.56
화곡6동,35,84,57,84,12,52,4,87,연지공원,640,11,18,16,18,3,9,1,198,263,2231,3,15,14,104,5,25303,1.11,22795,3950,0.16,3558.56
화곡8동,30,223,15,223,12,153,5,32,,951,5,45,7,45,4,41,17,337,403,6387,11,5,4,87,8,24415,0.53,46066,4394,0.18,8290.57
화곡8동,30,223,15,223,12,153,5,69,,2370,6,50,5,49,0,27,15,353,396,6240,16,1,5,75,7,24415,0.53,46066,4394,0.18,8290.57
화곡8동,30,223,15,223,12,153,5,71,더부리공원,1261,5,47,6,46,2,39,16,402,579,6483,12,2,8,90,6,24415,0.53,46066,4394,0.18,8290.57
화곡8동,30,223,15,223,12,153,5,82,배다리공원,1630,6,43,4,43,4,25,16,384,675,6499,12,2,5,69,3,24415,0.53,46066,4394,0.18,8290.57
화곡8동,30,223,15,223,12,153,5,133,모태공원,994,8,38,1,40,2,21,17,366,898,6165,11,5,5,64,3,24415,0.53,46066,4394,0.18,8290.57
화곡본동,26,277,42,280,24,233,7,28,소나무공원,942,4,32,5,32,3,25,10,208,266,3804,9,12,2,50,9,34121,0.98,34817,4899,0.14,4998.98
화곡본동,26,277,42,280,24,233,7,31,노을공원,1011,4,39,8,40,5,40,19,355,478,6248,12,6,11,40,6,34121,0.98,34817,4899,0.14,4998.98
화곡본동,26,277,42,280,24,233,7,64,비둘기공원,1102,4,39,8,39,3,30,16,280,313,5635,9,4,7,50,7,34121,0.98,34817,4899,0.14,4998.98
화곡본동,26,277,42,280,24,233,7,65,박장공원,930,3,44,5,44,2,28,13,243,285,5543,9,4,6,78,8,34121,0.98,34817,4899,0.14,4998.98
화곡본동,26,277,42,280,24,233,7,66,한글공원,983,4,47,5,47,2,34,15,278,331,5998,9,4,4,80,9,34121,0.98,34817,4899,0.14,4998.98
화곡본동,26,277,42,280,24,233,7,101,볏골공원,4262,3,37,8,38,4,33,17,321,386,5894,10,5,8,33,6,34121,0.98,34817,4899,0.14,4998.98
화곡본동,26,277,42,280,24,233,7,120,,4433,4,39,7,40,5,43,24,394,624,6594,15,7,9,75,6,34121,0.98,34817,4899,0.14,4998.98
