PARK_SN,공원명,행정동,x,y,면적,공공시설_개수,노인및사회복지시설_개수,문화및집회시설_개수,영유아시설_개수,운동시설_개수,의료시설_개수,의원_개수,제1종근린생활시설_개수,제2종근린생활시설_개수,주거_개수,주차장_개수,치안안전시설_개수,판매및영업시설_개수,학군_개수,화장실_개수,행정동 인구 (명),행정동 면적 (㎢),행정동 인구밀도 (명/㎢),행정동 고령인구수,행정동 고령인구비율,행정동 고령인구밀도,행정동 독거노인수,행정동 독거노인비율,행정동 독거노인밀도,기초생활수급자 고령인구수 (생계/주거/의료),기초생활수급자 고령인구밀도 (생계/주거/의료),최근접_지하철역사 (m),최근접_버스정류소 (m),최근접_주차장 (m),최근접_노인사회복지시설 (m),최근접_의료시설 (m),경사도
64,비둘기공원,화곡본동,126.8469812,37.54136968,1102,4,39,8,39,3,30,16,280,313,5635,9,4,7,50,7,34121,0.98,34817,4899,0.14,4998.98,1212,0.04,1236.73,506,516.33,578.6781269,166.9765847,228.5055728,106.6871183,208.1359722,5.54
65,박장공원,화곡본동,126.8490957,37.54073799,930,3,44,5,44,2,28,13,243,285,5543,9,4,6,78,8,34121,0.98,34817,4899,0.14,4998.98,1212,0.04,1236.73,506,516.33,770.9552564,155.0892069,125.3971669,68.95258395,406.9862908,6.4
66,한글공원,화곡본동,126.8505117,37.53852249,983,4,47,5,47,2,34,15,278,331,5998,9,4,4,80,9,34121,0.98,34817,4899,0.14,4998.98,1212,0.04,1236.73,506,516.33,802.672673,78.71360031,147.703183,175.6417541,575.1436058,7.82
67,초롱공원,화곡1동,126.8362379,37.53808925,945,7,31,10,30,4,33,21,376,915,6010,16,5,10,59,2,52647,1.12,47006,8353,0.16,7458.04,1978,0.04,1766.07,670,598.21,538.722684,93.01038724,389.6995773,162.1040669,90.91967492,0
68,능골공원,화곡4동,126.8553194,37.53674317,996,5,45,4,49,0,26,17,345,481,5588,13,2,5,69,6,20514,0.82,25017,3840,0.19,4682.93,903,0.04,1101.22,400,487.8,933.7596961,59.16167546,573.7548259,67.99704889,488.8822646,7.95
69,,화곡8동,126.850866,37.53578865,2370,6,50,5,49,0,27,15,353,396,6240,16,1,5,75,7,24415,0.53,46066,4394,0.18,8290.57,1011,0.04,1907.55,368,694.34,565.3724333,37.99562073,351.1448543,25.08894791,383.1795318,9.23
70,종달새공원,화곡4동,126.8580449,37.53533317,984,9,38,5,46,1,19,19,345,707,5455,14,3,3,70,5,20514,0.82,25017,3840,0.19,4682.93,903,0.04,1101.22,400,487.8,1077.449379,94.04834768,288.6364364,283.8573025,290.1391546,2.61
71,더부리공원,화곡8동,126.8467661,37.53487113,1261,5,47,6,46,2,39,16,402,579,6483,12,2,8,90,6,24415,0.53,46066,4394,0.18,8290.57,1011,0.04,1907.55,368,694.34,319.4212589,107.8016755,323.7082882,319.1221454,86.97571579,6.01
72,,화곡2동,126.8560954,37.53325019,983,8,41,5,49,1,29,19,402,791,5860,14,3,6,72,4,17785,0.45,39522,2932,0.16,6515.56,674,0.04,1497.78,283,628.89,851.0450337,132.1020244,286.6529199,13.40834774,146.9159829,3.8
73,다운공원,화곡1동,126.8446716,37.53208106,1285,6,36,6,37,2,23,12,367,817,6512,12,1,9,75,2,52647,1.12,47006,8353,0.16,7458.04,1978,0.04,1766.07,670,598.21,170.0369754,95.53254632,171.9655932,274.406187,105.9058967,4.78
74,,화곡4동,126.8593594,37.53120994,990,8,33,4,43,3,17,14,353,918,5482,10,5,4,84,2,20514,0.82,25017,3840,0.19,4682.93,903,0.04,1101.22,400,487.8,1131.349889,79.38933129,141.6054673,12.83047477,128.9898888,2.76
75,버들공원,화곡1동,126.8412458,37.53110898,1085,5,29,6,33,5,21,14,357,958,5826,14,3,9,48,1,52647,1.12,47006,8353,0.16,7458.04,1978,0.04,1766.07,670,598.21,482.5941304,152.1772961,126.0612393,108.0555626,249.8747225,2.91
76,,화곡2동,126.8536492,37.53000629,1028,9,40,2,44,3,30,24,425,986,6135,13,6,7,69,2,17785,0.45,39522,2932,0.16,6515.56,674,0.04,1497.78,283,628.89,661.3702395,84.24270575,425.5980932,14.64522156,130.4046002,2
77,,화곡1동,126.8406925,37.52952507,1047,6,30,6,34,5,21,14,336,989,5199,16,3,10,48,1,52647,1.12,47006,8353,0.16,7458.04,1978,0.04,1766.07,670,598.21,589.0124727,134.7885442,222.3816768,6.295405625,172.4258964,1.83
78,천사공원,화곡3동,126.833003,37.54690386,2393,5,15,7,17,3,22,10,209,347,2812,9,6,9,85,1,21603,0.53,40760,4102,0.19,7739.62,781,0.04,1473.58,245,462.26,364.5768878,113.1321263,274.8620617,48.68618597,275.7225429,5.42
79,,가양3동,126.862962,37.55949845,1622,4,2,1,2,3,5,1,148,143,830,1,6,13,78,3,14678,0.5,29356,3633,0.25,7266,1328,0.09,2656,1137,2274,246.9083013,42.29468334,511.0998484,424.6754651,272.597642,3.81
80,,방화2동,126.8094302,37.56972773,4790,4,17,6,17,2,22,12,331,426,2888,1,5,51,74,4,23371,6.41,3646,4690,0.2,731.67,1449,0.06,226.05,782,122,389.3369285,192.4556677,806.9827577,206.1181978,202.3743541,2.37
81,소공원,화곡2동,126.8514934,37.53404631,661,6,49,5,51,0,22,13,359,491,6525,12,1,5,67,5,17785,0.45,39522,2932,0.16,6515.56,674,0.04,1497.78,283,628.89,489.1176773,133.2530243,425.3548444,226.0828479,340.638872,8.74
82,배다리공원,화곡8동,126.8483209,37.53211091,1630,6,43,4,43,4,25,16,384,675,6499,12,2,5,69,3,24415,0.53,46066,4394,0.18,8290.57,1011,0.04,1907.55,368,694.34,153.1992333,139.1384238,76.13457874,48.0458949,123.2711567,6.68
84,,방화1동,126.8185954,37.56298051,1305,3,17,8,17,1,14,10,327,337,3312,4,5,21,26,3,42851,1.48,28953,6674,0.16,4509.46,1228,0.03,829.73,439,296.62,522.2627465,181.7703502,428.2723834,260.7587166,615.9715804,0
85,가양어린이공원,가양1동,126.8448043,37.56979722,1499,3,6,13,6,1,1,1,69,83,372,0,7,10,42,7,34359,4.7,7310,3106,0.09,660.85,539,0.02,114.68,83,17.66,320.9338487,117.0095259,1389.168848,347.7834705,151.5747112,0
87,연지공원,화곡6동,126.8532769,37.5546971,640,11,18,16,18,3,9,1,198,263,2231,3,15,14,104,5,25303,1.11,22795,3950,0.16,3558.56,917,0.04,826.13,356,320.72,762.5464998,93.0837068,258.9543524,258.978359,235.0808849,1.25
88,부석공원,방화2동,126.7988786,37.58289481,1137,0,0,0,0,0,0,0,24,23,406,1,2,11,1,2,23371,6.41,3646,4690,0.2,731.67,1449,0.06,226.05,782,122,529.1256608,53.18864474,558.8295698,469.2684253,1129.735282,11.97
91,,발산1동,126.8287265,37.55391847,3997,2,10,7,10,1,10,3,102,128,1105,6,4,21,68,1,36236,2.94,12325,4832,0.13,1643.54,893,0.02,303.74,432,146.94,767.655742,65.35177322,201.2798048,323.9674526,637.8355068,1
95,,발산1동,126.8232896,37.55215849,1763,3,9,2,9,0,0,0,79,90,1063,1,2,28,50,2,36236,2.94,12325,4832,0.13,1643.54,893,0.02,303.74,432,146.94,892.1920123,182.3081252,320.9986414,417.4048474,1098.097917,1.86
96,문화공원,가양1동,126.8463158,37.56621671,3751,5,7,10,7,4,3,1,104,129,489,0,9,17,66,7,34359,4.7,7310,3106,0.09,660.85,539,0.02,114.68,83,17.66,454.30946,149.7589657,1167.269326,402.3089407,534.8400711,0
97,,염창동,126.8738629,37.55172685,258,3,11,2,11,4,9,8,181,379,1545,6,2,4,39,6,41628,1.74,23924,4409,0.11,2533.91,629,0.02,361.49,90,51.72,530.3214713,175.5883566,390.308301,49.50529423,155.2206493,5.04
99,송정공원,공항동,126.8112897,37.56066848,406,2,16,6,16,1,14,6,308,330,3249,3,4,39,34,2,30927,10.87,2845,4180,0.14,384.54,1021,0.03,93.93,533,49.03,104.3396893,81.16594072,164.9237367,183.4385687,36.47384761,1.33
101,볏골공원,화곡본동,126.8443886,37.54147812,4262,3,37,8,38,4,33,17,321,386,5894,10,5,8,33,6,34121,0.98,34817,4899,0.14,4998.98,1212,0.04,1236.73,506,516.33,349.3256537,148.0436039,37.09509015,81.88845176,47.00062589,3.96
102,,우장산동,126.8377636,37.55597097,2746,6,9,13,9,3,11,3,146,163,1228,5,3,10,46,7,42883,1.36,31532,5945,0.14,4371.32,904,0.02,664.71,235,172.79,294.4809587,27.29351356,369.730914,414.7752652,179.557873,2
104,,우장산동,126.8387004,37.54872336,2436,6,16,7,16,4,34,14,264,284,3282,9,7,8,88,7,42883,1.36,31532,5945,0.14,4371.32,904,0.02,664.71,235,172.79,208.1441379,176.3350434,365.2607598,363.9658215,256.9979194,4.46
105,,방화1동,126.8212169,37.57061046,694,3,11,5,11,0,10,7,181,253,1717,2,1,15,32,2,42851,1.48,28953,6674,0.16,4509.46,1228,0.03,829.73,439,296.62,500.3962732,129.0348672,521.2577994,221.2407203,211.0993042,0
108,,등촌2동,126.858255,37.54947322,1535,10,25,5,23,2,9,4,253,445,3053,5,16,10,68,2,19855,0.92,21582,3183,0.16,3459.78,530,0.03,576.09,142,154.35,652.2289844,426.3298117,272.8055951,346.5790027,444.5685127,15.02
109,,우장산동,126.8400265,37.55614874,1499,7,10,19,10,3,12,3,156,187,1423,5,4,10,49,6,42883,1.36,31532,5945,0.14,4371.32,904,0.02,664.71,235,172.79,328.2425075,174.0955861,454.9592788,230.4000931,342.4798416,0
113,,우장산동,126.8386755,37.55020091,2437,5,16,7,16,5,29,9,236,263,2803,6,7,10,71,7,42883,1.36,31532,5945,0.14,4371.32,904,0.02,664.71,235,172.79,255.8314962,218.8246409,378.9081662,391.5642425,276.4061684,5.81
116,,우장산동,126.8369568,37.54617178,4493,5,17,8,19,4,34,15,298,377,3650,10,7,7,95,7,42883,1.36,31532,5945,0.14,4371.32,904,0.02,664.71,235,172.79,299.6621724,122.4662146,365.8225622,256.3123423,108.1505966,2
117,,화곡3동,126.830088,37.54424651,822,5,11,7,15,1,13,12,200,426,2762,7,5,9,85,1,21603,0.53,40760,4102,0.19,7739.62,781,0.04,1473.58,245,462.26,751.1763898,141.6595014,417.0662,320.1604357,585.9367103,11.62
119,,우장산동,126.8405008,37.54517454,3464,3,28,8,29,3,32,15,312,381,4782,12,6,9,57,9,42883,1.36,31532,5945,0.14,4371.32,904,0.02,664.71,235,172.79,395.5779567,245.6690934,94.18489516,229.2556691,218.471083,2.82
